"Species","StreamName","ChannelTY","M","C","R","N","SE","95% LCI","95% UCI","probCap","probCap_SE"
"Brook Trout","Big Eightmile Creek","Pool-Riffle_1",80,74,45,131,7.9,112,161,0.610687022900763,0.0368276906940155
"Brook Trout","Big Springs Creek","Pool-Riffle_1",24,20,6,74,18.4,45,144,0.324324324324324,0.0806428049671293
"Brook Trout","Big Springs Creek","Pool-Riffle_2",39,48,6,279,83.2,149,563,0.139784946236559,0.0416849732146298
"Brook Trout","Big Timber Creek","Confined_3",3,0,0,NA,NA,NA,NA,NA,NA
"Brook Trout","Big Timber Creek","Island_Braided_2",42,34,11,124,23.9,84,205,0.338709677419355,0.065283558792924
"Brook Trout","Big Timber Creek","Meandering_1",372,307,92,1234,92.2,1049,1471,0.301458670988655,0.0225238974596061
"Brook Trout","Big Timber Creek","Pool-Riffle_4",4,4,2,7,1.7,5,21,0.571428571428571,0.138775510204082
"Brook Trout","Bohannon Creek","Plane-Bed_1",1,1,0,NA,NA,NA,NA,NA,NA
"Brook Trout","Bohannon Creek","Plane-Bed_2",38,33,4,264,93.4,128,604,0.143939393939394,0.050924012855831
"Brook Trout","Canyon Creek","Pool-Riffle_1",42,44,8,214,54.1,126,394,0.196261682242991,0.0496156869595598
"Brook Trout","Canyon Creek","Pool-Riffle_2",51,39,7,259,71.3,149,494,0.196911196911197,0.0542075997674453
"Brook Trout","Canyon Creek","Pool-Riffle_3",85,60,33,153,13.5,126,198,0.555555555555556,0.0490196078431373
"Brook Trout","Cruikshank Creek","Pool-Riffle_4",91,55,36,138,10.2,118,173,0.659420289855073,0.0487397605545054
"Brook Trout","Hawley Creek","Plane-Bed_1",118,144,52,325,26.3,266,407,0.363076923076923,0.0293813017751479
"Brook Trout","Hawley Creek","Pool-Riffle_2",8,9,3,22,5.8,12,53,0.363636363636364,0.0958677685950413
"Brook Trout","Kenney Creek","Plane-Bed_1",53,64,5,584,198.6,276,1337,0.0907534246575342,0.0308623803715519
"Brook Trout","Kenney Creek","Pool-Riffle_2",18,16,3,80,28.1,39,198,0.225,0.07903125
"Brook Trout","Lee Creek","Pool-Riffle_1",8,0,0,NA,NA,NA,NA,NA,NA
"Brook Trout","Lemhi River","Island_Braided_3",1,2,0,NA,NA,NA,NA,NA,NA
"Brook Trout","Lemhi River","Island_Braided_5",5,3,2,7,1.4,5,19,0.714285714285714,0.142857142857143
"Brook Trout","Lemhi River","Island_Braided_7",1,0,0,NA,NA,NA,NA,NA,NA
"Brook Trout","Lemhi River","Meandering_1",87,72,21,291,44.1,211,422,0.298969072164948,0.0453076841322138
"Brook Trout","Lemhi River","Meandering_2",46,61,14,193,34.9,129,307,0.238341968911917,0.0430991436011705
"Brook Trout","Little Springs Creek","Meandering_1",7,2,2,7,0,7,17,1,0
"Brook Trout","Little Springs Creek","Meandering_2",1,1,1,1,0,1,5,1,0
"Brook Trout","Pratt Creek","Plane-Bed_1",78,51,13,292,58.7,195,470,0.267123287671233,0.0536990992681554
"Brook Trout","Pratt Creek","Step-Pool_2",10,8,0,NA,NA,NA,NA,NA,NA
"Bull Trout","Big Bear Creek","Pool-Riffle_3",21,3,2,28,6.8,22,72,0.75,0.182142857142857
"Bull Trout","Big Eightmile Creek","Pool-Riffle_1",1,0,0,NA,NA,NA,NA,NA,NA
"Bull Trout","Big Timber Creek","Confined_3",9,11,2,39,14.5,18,111,0.230769230769231,0.0857988165680473
"Bull Trout","Big Timber Creek","Island_Braided_2",1,2,1,2,0,1,9,0.5,0
"Bull Trout","Big Timber Creek","Meandering_1",1,1,0,NA,NA,NA,NA,NA,NA
"Bull Trout","Big Timber Creek","Pool-Riffle_4",51,36,8,213,53.5,129,388,0.23943661971831,0.0601401838259605
"Bull Trout","Big Timber Creek","Pool-Riffle_5",169,158,34,771,101.3,584,1044,0.219195849546044,0.0287996622036502
"Bull Trout","Canyon Creek","Pool-Riffle_1",1,0,0,NA,NA,NA,NA,NA,NA
"Bull Trout","Canyon Creek","Pool-Riffle_2",6,6,2,15,4.7,8,43,0.4,0.125333333333333
"Bull Trout","Cruikshank Creek","Pool-Riffle_4",3,1,1,3,0,3,11,1,0
"Bull Trout","Hawley Creek","Plane-Bed_1",27,16,6,67,16,43,129,0.402985074626866,0.0962352417019381
"Bull Trout","Hawley Creek","Pool-Riffle_2",16,13,4,47,13.1,27,103,0.340425531914894,0.0948845631507469
"Bull Trout","Hayden Creek","Confined_3",103,53,14,373,73.6,253,589,0.276139410187668,0.0544875619029821
"Bull Trout","Hayden Creek","Island_Braided_1",22,18,5,72,19.6,42,149,0.305555555555556,0.083179012345679
"Bull Trout","Hayden Creek","Island_Braided_2",70,42,13,217,41.4,149,345,0.32258064516129,0.0615430355284674
"Bull Trout","Hayden Creek","Plane-Bed_4",114,116,37,353,38.1,277,465,0.322946175637394,0.0348562302883419
"Bull Trout","Kenney Creek","Plane-Bed_1",5,2,0,NA,NA,NA,NA,NA,NA
"Bull Trout","Kenney Creek","Pool-Riffle_2",81,65,13,386,80.7,251,626,0.209844559585492,0.0438716475610084
"Bull Trout","Lee Creek","Pool-Riffle_1",2,0,0,NA,NA,NA,NA,NA,NA
"Bull Trout","Lemhi River","Island_Braided_3",2,2,1,4,0.9,2,13,0.5,0.1125
"Bull Trout","Lemhi River","Island_Braided_4",16,20,5,58,15.3,33,122,0.275862068965517,0.0727705112960761
"Bull Trout","Lemhi River","Island_Braided_5",26,8,2,80,31.2,41,223,0.325,0.12675
"Bull Trout","Lemhi River","Island_Braided_6",1,2,0,NA,NA,NA,NA,NA,NA
"Bull Trout","Lemhi River","Island_Braided_7",1,3,1,3,0,1,12,0.333333333333333,0
"Bull Trout","Lemhi River","Meandering_1",2,2,0,NA,NA,NA,NA,NA,NA
"Bull Trout","Lemhi River","Meandering_2",1,0,0,NA,NA,NA,NA,NA,NA
"Bull Trout","Reservoir Creek","Plane-Bed_4",1,0,0,NA,NA,NA,NA,NA,NA
"Chinook","Big Eightmile Creek","Pool-Riffle_1",1,2,0,NA,NA,NA,NA,NA,NA
"Chinook","Big Springs Creek","Pool-Riffle_1",7,6,0,NA,NA,NA,NA,NA,NA
"Chinook","Big Timber Creek","Meandering_1",1,0,0,NA,NA,NA,NA,NA,NA
"Chinook","Canyon Creek","Pool-Riffle_1",1,0,0,NA,NA,NA,NA,NA,NA
"Chinook","Hayden Creek","Confined_3",68,58,9,406,103.4,241,727,0.167487684729064,0.0426557305442986
"Chinook","Hayden Creek","Island_Braided_1",93,57,12,418,91.6,270,690,0.222488038277512,0.0487557519287562
"Chinook","Hayden Creek","Island_Braided_2",16,17,2,101,42.2,42,290,0.158415841584158,0.0661895892559553
"Chinook","Lee Creek","Pool-Riffle_1",8,1,0,NA,NA,NA,NA,NA,NA
"Chinook","Lemhi River","Island_Braided_3",380,350,48,2728,334.2,2118,3552,0.139296187683284,0.0170648042242499
"Chinook","Lemhi River","Island_Braided_4",205,92,5,3192,1150.1,1511,7301,0.0642230576441103,0.0231400183572967
"Chinook","Lemhi River","Island_Braided_5",8,1,0,NA,NA,NA,NA,NA,NA
"Chinook","Lemhi River","Island_Braided_6",15,14,0,NA,NA,NA,NA,NA,NA
"Chinook","Lemhi River","Island_Braided_7",73,42,9,317,78.2,195,562,0.230283911671924,0.0568082078635473
"Chinook","Lemhi River","Meandering_1",41,91,4,772,288,343,1848,0.0531088082901554,0.0198126124191253
"Chinook","Lemhi River","Meandering_2",69,127,11,746,179.5,432,1379,0.0924932975871314,0.0222554248215685
"Chinook","Little Springs Creek","Meandering_1",9,7,3,19,4.9,12,45,0.473684210526316,0.122160664819945
"Steelhead","Big Bear Creek","Pool-Riffle_3",58,30,12,140,25.3,99,222,0.414285714285714,0.0748673469387755
"Steelhead","Big Eightmile Creek","Pool-Riffle_1",64,41,18,143,20,107,207,0.447552447552448,0.0625947479094332
"Steelhead","Big Springs Creek","Pool-Riffle_1",144,134,33,575,73.6,437,778,0.250434782608696,0.032055652173913
"Steelhead","Big Springs Creek","Pool-Riffle_2",61,58,12,280,59,181,463,0.217857142857143,0.045905612244898
"Steelhead","Big Timber Creek","Confined_3",73,84,20,299,46.9,211,440,0.244147157190635,0.0382959922148522
"Steelhead","Big Timber Creek","Island_Braided_2",169,177,63,472,37.1,392,580,0.358050847457627,0.0281434034760126
"Steelhead","Big Timber Creek","Meandering_1",61,59,12,285,60.2,183,471,0.214035087719298,0.0452102185287781
"Steelhead","Big Timber Creek","Pool-Riffle_4",353,274,73,1315,115.5,1090,1607,0.268441064638783,0.02357790339603
"Steelhead","Big Timber Creek","Pool-Riffle_5",152,158,42,565,61.8,443,737,0.269026548672566,0.0294262667397604
"Steelhead","Bohannon Creek","Plane-Bed_1",215,190,34,1178,162.5,884,1601,0.18251273344652,0.025176841413463
"Steelhead","Bohannon Creek","Plane-Bed_2",139,175,24,985,162.3,695,1426,0.141116751269036,0.0232520291684918
"Steelhead","Canyon Creek","Pool-Riffle_1",43,51,2,762,357.3,277,1841,0.0564304461942257,0.0264601029202058
"Steelhead","Canyon Creek","Pool-Riffle_2",678,536,194,1869,90,1677,2098,0.362760834670947,0.0174684190050215
"Steelhead","Canyon Creek","Pool-Riffle_3",68,47,29,109,9.1,91,142,0.623853211009174,0.0520831579833347
"Steelhead","Cruikshank Creek","Pool-Riffle_4",167,89,46,321,27.2,269,399,0.520249221183801,0.0440834231034248
"Steelhead","Hawley Creek","Plane-Bed_1",138,134,37,493,57.1,382,653,0.279918864097363,0.0324206230019461
"Steelhead","Hawley Creek","Pool-Riffle_2",403,293,77,1522,131.9,1267,1851,0.264783180026281,0.0229467157985982
"Steelhead","Hayden Creek","Confined_3",211,149,39,794,95.8,618,1047,0.265743073047859,0.0320632070503588
"Steelhead","Hayden Creek","Island_Braided_1",547,393,109,1962,141.4,1683,2309,0.278797145769623,0.0200927198837027
"Steelhead","Hayden Creek","Island_Braided_2",313,234,79,921,71.9,778,1109,0.339847991313789,0.0265310212545727
"Steelhead","Hayden Creek","Plane-Bed_4",130,132,43,395,39.4,315,510,0.329113924050633,0.032828072424291
"Steelhead","Kenney Creek","Plane-Bed_1",262,292,42,1791,228.2,1370,2372,0.146286990508096,0.0186391352506686
"Steelhead","Kenney Creek","Pool-Riffle_2",163,213,28,1209,186.4,872,1707,0.134822167080232,0.0207864780345369
"Steelhead","Lee Creek","Pool-Riffle_1",94,25,14,164,24.6,127,243,0.573170731707317,0.0859756097560976
"Steelhead","Lemhi River","Island_Braided_3",212,206,19,2204,435.2,1437,3544,0.0961887477313975,0.0189933498242759
"Steelhead","Lemhi River","Island_Braided_4",169,125,15,1338,288.8,865,2132,0.126307922272048,0.0272628758984809
"Steelhead","Lemhi River","Island_Braided_5",124,66,8,930,263.8,529,1728,0.133333333333333,0.0378207885304659
"Steelhead","Lemhi River","Island_Braided_6",323,292,22,4126,779.5,2766,6419,0.0782840523509452,0.0147897282616485
"Steelhead","Lemhi River","Island_Braided_7",89,83,13,539,117,344,882,0.165120593692022,0.0358425036400123
"Steelhead","Lemhi River","Meandering_1",239,226,29,1815,284.2,1315,2548,0.13168044077135,0.0206190530397893
"Steelhead","Lemhi River","Meandering_2",154,237,35,1024,136,765,1392,0.150390625,0.0199737548828125
"Steelhead","Little Springs Creek","Meandering_1",146,136,51,386,33.7,316,485,0.378238341968912,0.0330223630164568
"Steelhead","Little Springs Creek","Meandering_2",37,28,15,68,8.5,52,100,0.544117647058823,0.0680147058823529
"Steelhead","Pratt Creek","Plane-Bed_1",91,36,6,485,148.8,268,969,0.187628865979381,0.0575653098097566
"Steelhead","Pratt Creek","Step-Pool_2",93,120,9,1136,310.5,628,2222,0.0818661971830986,0.0223762801279508
"Steelhead","Reservoir Creek","Plane-Bed_4",29,21,3,164,62.1,77,410,0.176829268292683,0.0669579119571684
