Stream,Year,ChannelTY,SH_popEst,SH_popSE,SH_pCapture,SH_pCaptureSE,SH_FishperM,SH_FishperM_SE,CK_popEst,CK_popSE,CK_pCapture,CK_pCaptureSE,CK_FishperM,CK_FishperM_SE
Big Eightmile Creek,2018,Pool-Riffle_1,143,20,0.447552448,0.062594748,0.114217252,0.015974441,0,NA,NA,NA,NA,NA
Big Springs Creek,2018,Pool-Riffle_1,575,73.6,0.250434783,0.032055652,0.160659402,0.020564403,0,NA,NA,NA,NA,NA
Big Springs Creek,2018,Pool-Riffle_2,280,59,0.217857143,0.045905612,0.128263857,0.027027027,0,NA,NA,NA,NA,NA
Big Timber Creek,2018,Confined_3,299,46.9,0.244147157,0.038295992,0.279962547,0.043913858,0,NA,NA,NA,NA,NA
Big Timber Creek,2018,Island_Braided_2,472,37.1,0.358050847,0.028143403,0.306294614,0.024075276,0,NA,NA,NA,NA,NA
Big Timber Creek,2018,Meandering_1,285,60.2,0.214035088,0.045210219,0.166959578,0.03526655,0,NA,NA,NA,NA,NA
Big Timber Creek,2018,Pool-Riffle_4,1315,115.5,0.268441065,0.023577903,0.480980249,0.042245794,0,NA,NA,NA,NA,NA
Big Timber Creek,2018,Pool-Riffle_5,565,61.8,0.269026549,0.029426267,0.256352087,0.028039927,0,NA,NA,NA,NA,NA
Bohannon Creek,2018,Plane-Bed_1,1178,162.5,0.182512733,0.025176841,0.692533804,0.09553204,0,NA,NA,NA,NA,NA
Bohannon Creek,2018,Plane-Bed_2,985,162.3,0.141116751,0.023252029,0.617554859,0.101755486,0,NA,NA,NA,NA,NA
Canyon Creek,2018,Pool-Riffle_1,762,357.3,0.056430446,0.026460103,0.296613468,0.139081355,0,NA,NA,NA,NA,NA
Canyon Creek,2018,Pool-Riffle_2,1869,90,0.362760835,0.017468419,0.575076923,0.027692308,0,NA,NA,NA,NA,NA
Canyon Creek,2018,Pool-Riffle_3,109,9.1,0.623853211,0.052083158,0.21042471,0.017567568,0,NA,NA,NA,NA,NA
Canyon Creek,2018,Pool-Riffle_4,321,27.2,0.520249221,0.044083423,0.142350333,0.012062084,0,NA,NA,NA,NA,NA
Hawley Creek,2018,Pool-Riffle_3,140,25.3,0.414285714,0.074867347,0.141700405,0.025607287,0,NA,NA,NA,NA,NA
Hawley Creek,2018,Plane-Bed_1,493,57.1,0.279918864,0.032420623,0.070710301,0.008189773,0,NA,NA,NA,NA,NA
Hawley Creek,2018,Pool-Riffle_2,1522,131.9,0.26478318,0.022946716,0.500407691,0.043366475,0,NA,NA,NA,NA,NA
Hawley Creek,2018,Plane-Bed_4,164,62.1,0.176829268,0.066957912,0.199029126,0.075364078,0,NA,NA,NA,NA,NA
Hayden Creek,2018,Confined_3,794,95.8,0.265743073,0.032063207,0.402228977,0.048530902,406,103.4,0.167487685,0.042655731,0.205673759,0.052380952
Hayden Creek,2018,Island_Braided_1,1962,141.4,0.278797146,0.02009272,1.172743574,0.084518828,418,91.6,0.222488038,0.048755752,0.249850568,0.054751943
Hayden Creek,2018,Island_Braided_2,921,71.9,0.339847991,0.026531021,0.351258581,0.027421815,101,42.2,0.158415842,0.066189589,0.038520214,0.016094584
Hayden Creek,2018,Plane-Bed_4,395,39.4,0.329113924,0.032828072,0.224431818,0.022386364,0,NA,NA,NA,NA,NA
Kenney Creek,2018,Plane-Bed_1,1791,228.2,0.146286991,0.018639135,0.581493506,0.074090909,0,NA,NA,NA,NA,NA
Kenney Creek,2018,Pool-Riffle_2,1209,186.4,0.134822167,0.020786478,0.299702529,0.046207238,0,NA,NA,NA,NA,NA
Lee Creek,2018,Pool-Riffle_1,164,24.6,0.573170732,0.08597561,0.115737474,0.017360621,0,NA,NA,NA,NA,NA
Little Springs Creek,2018,Meandering_1,386,33.7,0.378238342,0.033022363,0.102905892,0.008984271,19,4.9,0.473684211,0.122160665,0.005065316,0.001306318
Little Springs Creek,2018,Meandering_2,68,8.5,0.544117647,0.068014706,0.041666667,0.005208333,0,NA,NA,NA,NA,NA
Lower Lemhi River,2018,Island_Braided_4,1338,288.8,0.126307922,0.027262876,0.534345048,0.115335463,3192,1150.1,0.064223058,0.023140018,1.274760383,0.459305112
Lower Lemhi River,2018,Island_Braided_5,930,263.8,0.133333333,0.037820789,0.480868666,0.136401241,0,NA,NA,NA,NA,NA
Lower Lemhi River,2018,Island_Braided_6,4126,779.5,0.078284052,0.014789728,0.950253339,0.179525564,0,NA,NA,NA,NA,NA
Lower Lemhi River,2018,Island_Braided_7,539,117,0.165120594,0.035842504,0.175398633,0.038073544,317,78.2,0.230283912,0.056808208,0.103156525,0.025447445
Pratt Creek,2018,Plane-Bed_1,485,148.8,0.187628866,0.05756531,0.278255881,0.085370052,0,NA,NA,NA,NA,NA
Pratt Creek,2018,Step-Pool_2,1136,310.5,0.081866197,0.02237628,0.794961512,0.217284815,0,NA,NA,NA,NA,NA
Upper Lemhi River,2018,Island_Braided_3,2204,435.2,0.096188748,0.01899335,0.541789577,0.106981318,2728,334.2,0.139296188,0.017064804,0.670599803,0.082153392
Upper Lemhi River,2018,Meandering_1,1815,284.2,0.131680441,0.020619053,0.44518028,0.069708119,772,288,0.053108808,0.019812612,0.189354918,0.070640177
Upper Lemhi River,2018,Meandering_2,1024,136,0.150390625,0.019973755,0.440809298,0.058544985,746,179.5,0.092493298,0.022255425,0.321136461,0.077270771
