Stream,Year,ChannelTY,SH_popEst,SH_popSE,SH_pCapture,SH_pCaptureSE,SH_FishperM,SH_FishperM_SE,CK_popEst,CK_popSE,CK_pCapture,CK_pCaptureSE,CK_FishperM,CK_FishperM_SE
Hayden Creek,2017,Plane-Bed_4,325,40.5,0.350769231,0.043711243,0.183823529,0.02290724,0,NA,NA,NA,NA,NA
Kenney Creek,2017,Plane-Bed_1,1819,217.7,0.170973062,0.020462252,0.591352406,0.070773732,0,NA,NA,NA,NA,NA
Kenney Creek,2017,Pool-Riffle_2,1209,203.1,0.148056245,0.02487198,0.312564633,0.052507756,0,NA,NA,NA,NA,NA
Lee Creek,2017,Pool-Riffle_1,456,73.8,0.179824561,0.029103186,0.324093817,0.052452026,0,NA,NA,NA,NA,NA
Little Springs Creek,2017,Meandering_1,499,75.3,0.28256513,0.042639588,0.119292374,0.018001434,0,NA,NA,NA,NA,NA
Little Springs Creek,2017,Meandering_2,122,62,0.147540984,0.074979844,0.061368209,0.031187123,0,NA,NA,NA,NA,NA
Lower Lemhi River,2017,Island_Braided_1,2020,716.7,0.089108911,0.031616018,0.8105939,0.287600321,6220,1797.7,0.05192926,0.015008558,2.495987159,0.721388443
Lower Lemhi River,2017,Island_Braided_2,687,321.2,0.061135371,0.028583233,0.349796334,0.163543788,0,NA,NA,NA,NA,NA
Lower Lemhi River,2017,Island_Braided_3,2866,545.3,0.092114445,0.017526171,0.588018055,0.11187936,168,73.1,0.130952381,0.056979875,0.034468609,0.014997948
Lower Lemhi River,2017,Island_Braided_4,2062,308.7,0.143064985,0.021418119,0.387666855,0.058037225,1834,512.3,0.067066521,0.018734012,0.344801654,0.096315097
Upper Lemhi River,2017,Amonson_SC1,434,124.2,0.099078341,0.028353756,1.9375,0.554464286,0,NA,NA,NA,NA,NA
Upper Lemhi River,2017,Amonson_SC2,168,40.6,0.178571429,0.043154762,1.018181818,0.246060606,0,NA,NA,NA,NA,NA
Upper Lemhi River,2017,Island_Braided_3,4713,874.3,0.086144706,0.015980547,1.023452769,0.189858849,5894,2881,0.022056328,0.010781181,1.279913138,0.625624321
Upper Lemhi River,2017,Island_Braided_4,2911,633.8,0.081415321,0.017726221,0.900680693,0.196101485,1772,848.9,0.053047404,0.025413059,0.548267327,0.262654703
Upper Lemhi River,2017,Meandering_1,3782,509.2,0.116604971,0.015699432,0.930839281,0.125326114,1948,936.2,0.034394251,0.016529721,0.479448683,0.230420871
Upper Lemhi River,2017,Meandering_2,1769,224.9,0.17580554,0.022350857,0.655670867,0.083358043,3239,1822.1,0.033034887,0.018583781,1.200518903,0.675352113
Wimpey Creek,2017,Plane-Bed_1,1050,49.3,0.400952381,0.018825669,1.161504425,0.054535398,0,NA,NA,NA,NA,NA
Wimpey Creek,2017,Plane-Bed_2,1486,81.3,0.380888291,0.020838639,1.551148225,0.084864301,0,NA,NA,NA,NA,NA
