Stream,Year,ChannelTY,SH_popEst,SH_popSE,SH_pCapture,SH_pCaptureSE,SH_FishperM,SH_FishperM_SE,CK_popEst,CK_popSE,CK_pCapture,CK_pCaptureSE,CK_FishperM,CK_FishperM_SE
Big Eightmile Creek,2017,Plane-Bed_3,579,159.9,0.098445596,0.027187307,0.510132159,0.140881057,0,NA,NA,NA,NA,NA
Big Eightmile Creek,2017,Pool-Riffle_1,282,38.4,0.365248227,0.049735929,0.201141227,0.027389444,38,17,0.157894737,0.070637119,0.027104137,0.012125535
Big Springs Creek,2017,Pool-Riffle_1,286,66.7,0.174825175,0.040772165,0.080722552,0.018825854,0,NA,NA,NA,NA,NA
Big Springs Creek,2017,Pool-Riffle_2,450,164.8,0.102222222,0.037436049,0.113093742,0.041417442,0,NA,NA,NA,NA,NA
Big Timber Creek,2017,Confined_3,492,63.9,0.274390244,0.035637269,0.44646098,0.057985481,0,NA,NA,NA,NA,NA
Big Timber Creek,2017,Island_Braided_2,314,21.8,0.378980892,0.026311412,0.202580645,0.014064516,0,NA,NA,NA,NA,NA
Big Timber Creek,2017,Meandering_1,469,135.4,0.098081023,0.028315929,0.346381093,0.1,0,NA,NA,NA,NA,NA
Big Timber Creek,2017,Pool-Riffle_4,1391,183.1,0.156002876,0.020534958,0.464751086,0.061176078,0,NA,NA,NA,NA,NA
Big Timber Creek,2017,Pool-Riffle_5,527,56,0.292220114,0.031051853,0.300970874,0.031981725,0,NA,NA,NA,NA,NA
Bohannon Creek,2017,Plane-Bed_1,1389,64.3,0.409647228,0.018963511,0.704361055,0.032606491,0,NA,NA,NA,NA,NA
Bohannon Creek,2017,Plane-Bed_2,2077,231.7,0.19258546,0.021483896,1.010705596,0.112749392,0,NA,NA,NA,NA,NA
Bohannon Creek,2017,Plane-Bed_3,492,58.7,0.223577236,0.026674764,0.273789649,0.032665554,0,NA,NA,NA,NA,NA
Bohannon Creek,2017,Step-Pool_4,702,124,0.170940171,0.03019456,0.415876777,0.073459716,0,NA,NA,NA,NA,NA
Bohannon Creek,2017,Plane-Bed_5,505,94.2,0.182178218,0.033982551,0.663600526,0.123784494,0,NA,NA,NA,NA,NA
Bohannon Creek,2017,Step-Pool_6,186,57.7,0.14516129,0.045031217,0.261235955,0.081039326,0,NA,NA,NA,NA,NA
Canyon Creek,2017,Pool-Riffle_1,1173,382.6,0.087809037,0.028640867,0.792032411,0.25833896,0,NA,NA,NA,NA,NA
Canyon Creek,2017,Pool-Riffle_2,1687,119.1,0.278008299,0.019627023,0.343584521,0.024256619,0,NA,NA,NA,NA,NA
Canyon Creek,2017,Pool-Riffle_3,117,13.6,0.581196581,0.067557893,0.226305609,0.026305609,0,NA,NA,NA,NA,NA
Canyon Creek,2017,Pool-Riffle_4,839,461.3,0.046483909,0.02555784,0.312942932,0.172062663,0,NA,NA,NA,NA,NA
Hawley Creek,2017,Pool-Riffle_4,103,33,0.242718447,0.077764163,0.114317425,0.036625971,0,NA,NA,NA,NA,NA
Hawley Creek,2017,Plane-Bed_1,83,19.5,0.313253012,0.073595587,0.009226323,0.00216763,0,NA,NA,NA,NA,NA
Hawley Creek,2017,Pool-Riffle_2,1527,115.4,0.264571054,0.019994433,0.502302632,0.037960526,0,NA,NA,NA,NA,NA
Hawley Creek,2017,Plane-Bed_3,62,14.8,0.306451613,0.073152966,0.03916614,0.009349337,0,NA,NA,NA,NA,NA
Hayden Creek,2017,Confined_3,623,105.5,0.165329053,0.027997135,0.326862539,0.055351522,37,6,0.378378378,0.061358656,0.019412382,0.003147954
Hayden Creek,2017,Island_Braided_1,4807,472,0.129810693,0.01274613,2.443823081,0.239959329,2143,322.1,0.123191787,0.018516134,1.08947636,0.163751906
Hayden Creek,2017,Island_Braided_2,1045,102.6,0.306220096,0.030065246,0.536172396,0.052642381,1239,199.7,0.15819209,0.025497143,0.635710621,0.102462801
