Stream,Year,ChannelTY,SH_popEst,SH_popSE,SH_pCapture,SH_pCaptureSE,SH_FishperM,SH_FishperM_SE,CK_popEst,CK_popSE,CK_pCapture,CK_pCaptureSE,CK_FishperM,CK_FishperM_SE
Agency Creek,2016,Pool-Riffle_2,1320.83,152.17,0.2302,0.0265,0.407789441,0.04698055,0,NA,NA,NA,NA,NA
Agency Creek,2016,Pool-Riffle_3,2669.33,591.76,0.1154,0.0256,0.859410818,0.190521571,0,NA,NA,NA,NA,NA
Agency Creek,2016,Pool-Riffle_4,97.5,40.56,0.3077,0.128,0.241336634,0.10039604,0,NA,NA,NA,NA,NA
Big Eightmile Creek,2016,Pool-Riffle_1,47.25,12.45,0.4444,0.1171,0.033701854,0.008880171,76,23.27,0.25,0.0765,0.054208274,0.016597718
Big Eightmile Creek,2016,Pool-Riffle_2,62.33,32.66,0.1765,0.0925,0.029262911,0.015333333,0,NA,NA,NA,NA,NA
Big Eightmile Creek,2016,Plane-Bed_3,1285.2,155.87,0.2646,0.0321,0.417815345,0.050672952,0,NA,NA,NA,NA,NA
Big Eightmile Creek,2016,Plane-Bed_4,1275.95,124.64,0.2367,0.0231,0.637337662,0.062257742,0,NA,NA,NA,NA,NA
Big Springs Creek,2016,Pool-Riffle_1,8501.28,1519.9,0.073,0.0131,2.920398488,0.522122982,292.4,192.17,0.1744,0.1146,0.100446582,0.066015115
Big Springs Creek,2016,Pool-Riffle_2,4016.33,625.46,0.1123,0.0175,1.591886643,0.24790329,413.33,229.51,0.075,0.0416,0.163824812,0.090967103
Big Timber Creek,2016,Meandering_1,1029,712.61,0.0408,0.0283,0.595486111,0.412390046,0,NA,NA,NA,NA,NA
Big Timber Creek,2016,Island_Braided_2,280.14,64.23,0.2642,0.0606,0.179232246,0.04109405,0,NA,NA,NA,NA,NA
Big Timber Creek,2016,Confined_3,474.32,81.87,0.2551,0.044,0.344458969,0.059455338,0,NA,NA,NA,NA,NA
Big Timber Creek,2016,Pool-Riffle_4,1227.91,106.34,0.3152,0.0273,0.380511311,0.032953207,0,NA,NA,NA,NA,NA
Big Timber Creek,2016,Pool-Riffle_5,516.8,73.39,0.2941,0.0418,0.290663667,0.041276715,0,NA,NA,NA,NA,NA
Bohannon Creek,2016,Plane-Bed_1,924.44,290.3,0.1125,0.0353,0.493297759,0.154909285,0,NA,NA,NA,NA,NA
Bohannon Creek,2016,Plane-Bed_2,3516.57,1303.18,0.0387,0.0143,0.772702703,0.286350253,0,NA,NA,NA,NA,NA
Bohannon Creek,2016,Plane-Bed_3,972.57,239.34,0.1522,0.0374,0.541218698,0.133188648,0,NA,NA,NA,NA,NA
Bohannon Creek,2016,Step-Pool_4,821.43,202.14,0.1522,0.0374,0.279588155,0.068801906,0,NA,NA,NA,NA,NA
Bohannon Creek,2016,Step-Pool_5,525.96,322.07,0.1293,0.0792,0.179202726,0.109734242,0,NA,NA,NA,NA,NA
Canyon Creek,2016,Pool-Riffle_1,587.81,87.5,0.2909,0.0433,0.163553144,0.024346132,0,NA,NA,NA,NA,NA
Canyon Creek,2016,Pool-Riffle_2,1771.47,141.02,0.2924,0.0233,0.396656964,0.031576355,0,NA,NA,NA,NA,NA
Canyon Creek,2016,Pool-Riffle_3,191.96,33.3,0.5053,0.0877,0.360150094,0.062476548,0,NA,NA,NA,NA,NA
Canyon Creek,2016,Pool-Riffle_4,327.6,95.02,0.1587,0.046,0.122193211,0.035441999,0,NA,NA,NA,NA,NA
Hawley Creek,2016,Plane-Bed_1,76,26.87,0.25,0.0884,0.022300469,0.00788439,0,NA,NA,NA,NA,NA
Hawley Creek,2016,Plane-Bed_2,130.2,50.82,0.2381,0.0929,0.035848018,0.013992291,0,NA,NA,NA,NA,NA
Hawley Creek,2016,Pool-Riffle_3,2142.28,171.94,0.2978,0.0239,0.595905424,0.047827538,0,NA,NA,NA,NA,NA
Hawley Creek,2016,Pool-Riffle_4,132,88.99,0.0909,0.0613,0.083385976,0.056216045,0,NA,NA,NA,NA,NA
Hawley Creek,2016,Plane-Bed_5,110.25,49.6,0.1905,0.0857,0.211612284,0.095201536,0,NA,NA,NA,NA,NA
Hayden Creek,2016,Island_Braided_1,2599.68,397.93,0.1331,0.0204,0.999492503,0.152991157,2972.45,869.76,0.0582,0.017,1.142810458,0.334394464
Hayden Creek,2016,Island_Braided_2,1498.64,123.29,0.3029,0.0249,0.449367316,0.036968516,3356.3,424.28,0.1371,0.0173,1.006386807,0.12722039
Hayden Creek,2016,Confined_3,460.82,67.24,0.2973,0.0434,0.279793564,0.040825744,707,146.15,0.1881,0.0389,0.429265331,0.088737098
Hayden Creek,2016,Pool-Riffle_4,525,90.57,0.2857,0.0493,0.345394737,0.059585526,1447.81,335.35,0.1416,0.0328,0.952506579,0.220625
Kenney Creek,2016,Plane-Bed_1,1888.21,279.04,0.1483,0.0219,0.521604972,0.077082873,0,NA,NA,NA,NA,NA
Kenney Creek,2016,Pool-Riffle_2,1118,145.4,0.2558,0.0333,0.224497992,0.029196787,0,NA,NA,NA,NA,NA
Lee Creek,2016,Pool-Riffle_1,195.28,19.54,0.6094,0.061,0.148614916,0.014870624,588,226.83,0.1071,0.0413,0.447488584,0.172625571
Little Springs Creek,2016,Meandering_1,485.76,76.57,0.3788,0.0597,0.116127181,0.018305044,0,NA,NA,NA,NA,NA
Little Springs Creek,2016,Meandering_2,75.6,27.11,0.3571,0.1281,0.046437346,0.016652334,0,NA,NA,NA,NA,NA
Lower Lemhi River,2016,Island_Braided_1,5786.29,2140.4,0.0422,0.0156,1.390600817,0.514395578,10904,10787.38,0.0213,0.021,2.620523913,2.592496996
Lower Lemhi River,2016,Island_Braided_3,4383.53,436.44,0.1574,0.0157,1.05550927,0.105090296,1158.86,417.89,0.0897,0.0324,0.279041657,0.100623646
Lower Lemhi River,2016,Island_Braided_4,1441.68,285.6,0.1366,0.0271,0.556418371,0.110227711,1377.6,597,0.061,0.0264,0.531686607,0.230412968
Pratt Creek,2016,Plane-Bed_1,544,304.11,0.0625,0.0349,0.193113241,0.107955272,0,NA,NA,NA,NA,NA
Pratt Creek,2016,Step-Pool_2,1887.32,330.07,0.1436,0.0251,0.435971356,0.076246246,0,NA,NA,NA,NA,NA
Upper Lemhi River,2016,Meandering_1,4678.75,466.98,0.203,0.0203,0.637692517,0.063647267,13670.83,5493.66,0.0311,0.0125,1.863272455,0.748761074
