Stream,Year,ChannelTY,Species,CK_popEst,CK_popSE,CK_pCapture,CK_pCaptureSE,CK_FishperM,CK_FishperM_SE
Upper Lemhi River,2018,Meandering_1,Chinook,772,288,0.053108808,0.019812612,0.189354918,0.070640177
Upper Lemhi River,2018,Meandering_2,Chinook,746,179.5,0.092493298,0.022255425,0.321136461,0.077270771
Big Eightmile Creek,2019,Pool-Riffle_1,Steelhead,16,1.9,0.875,0.10390625,0.016129032,0.001915323
Big Springs Creek,2019,Pool-Riffle_1,Steelhead,528,31.8,0.373106061,0.02247116,0.147280335,0.008870293
Big Springs Creek,2019,Pool-Riffle_2,Steelhead,383,50.8,0.268929504,0.035670023,0.145406226,0.019286257
Big Timber Creek,2019,Confined_3,Steelhead,316,47.3,0.278481013,0.041684025,0.229484386,0.034350036
Big Timber Creek,2019,Island_Braided_2,Steelhead,510,28.2,0.560784314,0.031008074,0.331815224,0.01834743
Big Timber Creek,2019,Meandering_1,Steelhead,208,80,0.177884615,0.06841716,0.101167315,0.038910506
Big Timber Creek,2019,Pool-Riffle_4,Steelhead,1326,163.9,0.19306184,0.023863375,0.328299084,0.040579351
Big Timber Creek,2019,Pool-Riffle_5,Steelhead,485,56,0.290721649,0.033567861,0.226635514,0.026168224
Bohannon Creek,2019,Plane-Bed_1,Steelhead,1158,146.2,0.146804836,0.018534427,0.418958032,0.052894356
Bohannon Creek,2019,Plane-Bed_2,Steelhead,893,145.7,0.187010078,0.030512171,0.308889658,0.050397786
Bohannon Creek,2019,Plane-Bed_5,Steelhead,486,61,0.401234568,0.050360717,0.248085758,0.031138336
Bohannon Creek,2019,Step-Pool_6,Steelhead,418,62,0.258373206,0.038323298,0.212830957,0.031568228
Bohannon Creek,2019,Plane-Bed_3,Steelhead,129,65.5,0.147286822,0.074785169,0.169513798,0.086070959
Bohannon Creek,2019,Step-Pool_4,Steelhead,108,35,0.185185185,0.060013717,0.049678013,0.016099356
Canyon Creek,2019,Pool-Riffle_1,Steelhead,76,20.5,0.342105263,0.092278393,0.072519084,0.019561069
Hawley Creek,2019,Pool-Riffle_4,Steelhead,129,37.5,0.310077519,0.090138814,0.133264463,0.038739669
Hawley Creek,2019,Plane-Bed_1,Steelhead,1114,116.7,0.186714542,0.019559773,0.182742782,0.019143701
Hawley Creek,2019,Pool-Riffle_2,Steelhead,1382,79.8,0.37698987,0.021768301,0.376156777,0.021720196
Hawley Creek,2019,Plane-Bed_3,Steelhead,206,45.9,0.252427184,0.056244698,0.244365362,0.054448399
Hayden Creek,2019,Confined_3,Steelhead,630,73.3,0.341269841,0.039706475,0.287146764,0.033409298
Hayden Creek,2019,Island_Braided_1,Steelhead,2186,174.3,0.257090576,0.020499034,0.900329489,0.071787479
Hayden Creek,2019,Island_Braided_2,Steelhead,1081,88.5,0.312673451,0.02559815,0.510146295,0.041764983
Hayden Creek,2019,Plane-Bed_4,Steelhead,527,92.5,0.225806452,0.03963396,0.302005731,0.053008596
Kenney Creek,2019,Plane-Bed_1,Steelhead,3176,234.8,0.209697733,0.015502842,1.462920313,0.108152925
Kenney Creek,2019,Pool-Riffle_2,Steelhead,1148,74,0.352787456,0.022740655,0.320849637,0.020681945
Lee Creek,2019,Pool-Riffle_1,Steelhead,60,7.1,0.7,0.082833333,0.04101162,0.004853042
Little Springs Creek,2019,Meandering_1,Steelhead,261,45.4,0.318007663,0.055316275,0.062365591,0.010848268
Little Springs Creek,2019,Meandering_2,Steelhead,81,17.1,0.382716049,0.08079561,0.045892351,0.009688385
Lower Lemhi River,2019,Island_Braided_3,Steelhead,1659,420.7,0.099457505,0.02522108,0.298703637,0.075747209
Lower Lemhi River,2019,Island_Braided_4,Steelhead,4216,503.8,0.125948767,0.015050519,0.618272474,0.073881801
Lower Lemhi River,2019,Island_Braided_5,Steelhead,221,97.1,0.162895928,0.071571016,0.067357513,0.029594636
Pratt Creek,2019,Plane-Bed_1,Steelhead,912,233.9,0.134868421,0.034589609,0.481266491,0.123430079
Pratt Creek,2019,Step-Pool_2,Steelhead,1391,282.8,0.127965492,0.026016277,0.690322581,0.140347395
Upper Lemhi River,2019,Island_Braided_2,Steelhead,3189,321.2,0.180620884,0.018192357,0.509099617,0.051277139
Upper Lemhi River,2019,Meandering_1,Steelhead,1250,59.6,0.408,0.01945344,0.21466598,0.010235274
