Stream,Year,ChannelTY,Species,CK_popEst,CK_popSE,CK_pCapture,CK_pCaptureSE,CK_FishperM,CK_FishperM_SE
Upper Lemhi River,2015,Meandering_1,Steelhead,2866.54,229.14,0.2013,0.0161,0.386222043,0.03087308
Upper Lemhi River,2015,Meandering_2,Steelhead,7591.51,1033.74,0.0914,0.0124,0.887792071,0.120891124
Upper Lemhi River,2015,Island_Braided_3,Steelhead,5809.14,1060.24,0.0673,0.0123,1.697090272,0.309739994
Upper Lemhi River,2015,Island_Braided_4,Steelhead,5344.6,740.77,0.0971,0.0135,1.660845245,0.230195774
Wimpey Creek,2015,Pool-Riffle_1,Chinook,74,16.55,0.5,0.1118,0.035525684,0.007945271
Wimpey Creek,2015,Pool-Riffle_1,Steelhead,1874.6,137.13,0.3846,0.0281,0.899951992,0.065832933
Agency Creek,2016,Pool-Riffle_2,Steelhead,1320.83,152.17,0.2302,0.0265,0.407789441,0.04698055
Agency Creek,2016,Pool-Riffle_3,Steelhead,2669.33,591.76,0.1154,0.0256,0.859410818,0.190521571
Agency Creek,2016,Pool-Riffle_4,Steelhead,97.5,40.56,0.3077,0.128,0.241336634,0.10039604
Big Eightmile Creek,2016,Pool-Riffle_1,Steelhead,47.25,12.45,0.4444,0.1171,0.033701854,0.008880171
Big Eightmile Creek,2016,Pool-Riffle_2,Steelhead,62.33,32.66,0.1765,0.0925,0.029262911,0.015333333
Big Eightmile Creek,2016,Plane-Bed_3,Steelhead,1285.2,155.87,0.2646,0.0321,0.417815345,0.050672952
Big Eightmile Creek,2016,Plane-Bed_4,Steelhead,1275.95,124.64,0.2367,0.0231,0.637337662,0.062257742
Big Eightmile Creek,2016,Pool-Riffle_1,Chinook,76,23.27,0.25,0.0765,0.054208274,0.016597718
Big Springs Creek,2016,Pool-Riffle_1,Steelhead,8501.28,1519.9,0.073,0.0131,2.920398488,0.522122982
Big Springs Creek,2016,Pool-Riffle_2,Steelhead,4016.33,625.46,0.1123,0.0175,1.591886643,0.24790329
Big Springs Creek,2016,Pool-Riffle_1,Chinook,292.4,192.17,0.1744,0.1146,0.100446582,0.066015115
Big Springs Creek,2016,Pool-Riffle_2,Chinook,413.33,229.51,0.075,0.0416,0.163824812,0.090967103
Big Timber Creek,2016,Meandering_1,Steelhead,1029,712.61,0.0408,0.0283,0.595486111,0.412390046
Big Timber Creek,2016,Island_Braided_2,Steelhead,280.14,64.23,0.2642,0.0606,0.179232246,0.04109405
Big Timber Creek,2016,Confined_3,Steelhead,474.32,81.87,0.2551,0.044,0.344458969,0.059455338
Big Timber Creek,2016,Pool-Riffle_4,Steelhead,1227.91,106.34,0.3152,0.0273,0.380511311,0.032953207
Big Timber Creek,2016,Pool-Riffle_5,Steelhead,516.8,73.39,0.2941,0.0418,0.290663667,0.041276715
Bohannon Creek,2016,Plane-Bed_1,Steelhead,924.44,290.3,0.1125,0.0353,0.493297759,0.154909285
Bohannon Creek,2016,Plane-Bed_2,Steelhead,3516.57,1303.18,0.0387,0.0143,0.772702703,0.286350253
Bohannon Creek,2016,Plane-Bed_3,Steelhead,972.57,239.34,0.1522,0.0374,0.541218698,0.133188648
