Species,Year,SubSite,M,C,R,N,SE,95% LCI,95% UCI,probCap,probCap_SE,SampleLength,FishperM,FishperM_SE
Steelhead,2019,EVR2-LSC,17,0,0,NA,NA,NA,NA,NA,NA,530,NA,NA
Bull Trout,2016,EVR3,1,0,0,NA,NA,NA,NA,NA,NA,1190,NA,NA
Bull Trout,2017,EVR3,2,0,0,NA,NA,NA,NA,NA,NA,1190,NA,NA
Bull Trout,2019,EVR3,4,2,2,4,0,4,10,1,0,1190,0.003361345,0
Chinook,2015,EVR3,21,15,0,NA,NA,NA,NA,NA,NA,650,NA,NA
Chinook,2016,EVR3,21,15,0,NA,NA,NA,NA,NA,NA,1190,NA,NA
Chinook,2017,EVR3,4,4,0,NA,NA,NA,NA,NA,NA,1190,NA,NA
Chinook,2019,EVR3,12,9,0,NA,NA,NA,NA,NA,NA,1190,NA,NA
Steelhead,2015,EVR3,201,122,3,6210,2705.1,2543,15349,0.03236715,0.014099256,650,9.553846154,4.161692308
Steelhead,2016,EVR3,159,89,20,685,119.3,483,1012,0.232116788,0.040425595,1190,0.575630252,0.100252101
Steelhead,2017,EVR3,91,48,2,1502,716,547,3628,0.060585885,0.028881154,1190,1.262184874,0.601680672
Steelhead,2018,EVR3,37,38,2,493,227.7,179,1192,0.07505071,0.034663381,1190,0.414285714,0.191344538
Steelhead,2019,EVR3,224,167,26,1399,227.4,1005,1993,0.160114367,0.026025738,1190,1.175630252,0.191092437
Bull Trout,2019,EVR3-LSC,1,0,0,NA,NA,NA,NA,NA,NA,550,NA,NA
Steelhead,2019,EVR3-LSC,13,25,0,NA,NA,NA,NA,NA,NA,550,NA,NA
Bull Trout,2019,EVR3-SSC,2,2,1,4,0.9,2,13,0.5,0.1125,1241,0.003223207,0.000725222
Chinook,2019,EVR3-SSC,4,1,0,NA,NA,NA,NA,NA,NA,1241,NA,NA
Steelhead,2019,EVR3-SSC,29,31,1,479,259.2,145,935,0.060542797,0.032761363,1241,0.385979049,0.20886382
Bull Trout,2016,EVR4,1,0,0,NA,NA,NA,NA,NA,NA,560,NA,NA
Bull Trout,2019,EVR4,1,4,0,NA,NA,NA,NA,NA,NA,560,NA,NA
Chinook,2016,EVR4,15,12,1,103,51.7,31,202,0.145631068,0.073098313,560,0.183928571,0.092321429
Chinook,2017,EVR4,3,5,0,NA,NA,NA,NA,NA,NA,560,NA,NA
Chinook,2018,EVR4,1,1,0,NA,NA,NA,NA,NA,NA,560,NA,NA
Chinook,2019,EVR4,6,1,0,NA,NA,NA,NA,NA,NA,560,NA,NA
Steelhead,2016,EVR4,118,121,17,806,157.4,537,1246,0.146401985,0.028590164,560,1.439285714,0.281071429
Steelhead,2017,EVR4,54,47,4,527,194.5,234,1262,0.102466793,0.037817441,560,0.941071429,0.347321429
Steelhead,2018,EVR4,28,38,2,376,171.5,137,909,0.074468085,0.033966161,560,0.671428571,0.30625
Steelhead,2019,EVR4,54,29,2,549,253.7,200,1327,0.098360656,0.045453731,560,0.980357143,0.453035714
Bull Trout,2018,ThorMC,2,2,1,4,0.9,2,13,0.5,0.1125,1538,0.00260078,0.000585176
Bull Trout,2019,ThorMC,1,0,0,NA,NA,NA,NA,NA,NA,1538,NA,NA
Chinook,2016,ThorMC,70,63,1,2271,1272.8,690,4431,0.030823426,0.017275234,1538,1.476592978,0.82756827
Chinook,2017,ThorMC,51,73,2,1282,609.8,467,3097,0.039781591,0.018922632,1538,0.833550065,0.396488947
Chinook,2018,ThorMC,243,291,42,1656,209.4,1267,2193,0.14673913,0.018555057,1538,1.076723017,0.136150845
Chinook,2019,ThorMC,120,185,5,3750,1359.7,1776,8578,0.032,0.011602773,1538,2.438231469,0.884070221
Steelhead,2016,ThorMC,223,182,25,1576,264.2,1119,2265,0.141497462,0.023720577,1538,1.024707412,0.171781534
Steelhead,2017,ThorMC,230,152,9,3533,1007.7,1953,6908,0.065100481,0.018568286,1538,2.297139142,0.65520156
Steelhead,2018,ThorMC,128,163,17,1174,236,772,1827,0.109028961,0.021917236,1538,0.763328999,0.153446034
Steelhead,2019,ThorMC,218,163,20,1709,323.8,1165,2566,0.127559977,0.024168473,1538,1.111183355,0.21053316
Chinook,2019,ThorSC,24,19,0,NA,NA,NA,NA,NA,NA,1000,NA,NA
Steelhead,2019,ThorSC,79,49,11,332,74.3,213,559,0.237951807,0.053252468,1000,0.332,0.0743
