Species,SiteName,HabitatReach,M,C,R,N,SE,95% LCI,95% UCI,probCap,probCap_SE
Steelhead,Hayden4_2019,6,11,2,0,NA,NA,NA,NA,NA,NA
Steelhead,Hayden4_2019,7,9,11,3,29,8.5,15,71,0.310344828,0.090963139
Steelhead,Hayden4_2019,8,8,11,1,53,25.1,15,104,0.150943396,0.071484514
Steelhead,Kenney1_2019,1,41,28,0,NA,NA,NA,NA,NA,NA
Steelhead,Kenney1_2019,2,24,32,2,274,123,99,663,0.087591241,0.039320156
Steelhead,Kenney1_2019,3,28,38,4,225,78.4,108,517,0.124444444,0.043361975
Steelhead,Kenney1_2019,4,34,82,3,725,298.2,296,1794,0.046896552,0.019289037
Steelhead,Kenney1_2019,5,45,51,8,265,68.5,154,489,0.169811321,0.043894624
Steelhead,Kenney1_2019,6,39,47,6,273,81.4,146,551,0.142857143,0.0425955
Steelhead,Kenney1_2019,7,47,44,2,719,336.7,262,1738,0.065368567,0.0306114
Steelhead,Kenney1_2019,8,53,44,8,269,69.7,159,495,0.197026022,0.051050981
Steelhead,Kenney1_2019,9,35,35,4,258,91.1,125,591,0.135658915,0.047901268
Steelhead,Kenney1_2019,10,22,8,1,102,50.4,41,363,0.215686275,0.106574394
Steelhead,Kenney1_2019,11,24,13,4,69,20.5,40,152,0.347826087,0.103339635
Steelhead,Kenney1_2019,12,20,20,0,NA,NA,NA,NA,NA,NA
Steelhead,Kenney1_2019,13,49,19,8,110,23.6,75,193,0.445454545,0.095570248
Steelhead,Kenney1_2019,14,34,21,5,127,37.7,72,265,0.267716535,0.079471759
Steelhead,Kenney1_2019,15,38,14,9,58,8.8,45,92,0.655172414,0.09940547
Steelhead,Kenney1_2019,16,40,12,4,106,32,63,231,0.377358491,0.113919544
Steelhead,Kenney1_2019,LEM-064351,57,40,12,182,35.6,122,295,0.313186813,0.061260717
Steelhead,Kenney2_2019,1,26,22,6,88,22.5,52,172,0.295454545,0.075542355
Steelhead,Kenney2_2019,2,49,23,10,108,20.5,76,178,0.453703704,0.086119684
Steelhead,Kenney2_2019,3,22,11,5,45,10.6,30,90,0.488888889,0.115160494
Steelhead,Kenney2_2019,4,11,7,1,47,21.9,19,167,0.234042553,0.109053871
Steelhead,Kenney2_2019,5,22,8,3,51,15.7,30,121,0.431372549,0.132795079
Steelhead,Kenney2_2019,6,21,10,4,47,12.8,30,102,0.446808511,0.12168402
Steelhead,Kenney2_2019,7,36,14,3,138,50.2,70,339,0.260869565,0.09489603
Steelhead,Kenney2_2019,8,13,18,4,52,14.9,28,118,0.25,0.071634615
Steelhead,Kenney2_2019,9,16,9,1,84,41.2,32,299,0.19047619,0.093424036
Steelhead,Kenney2_2019,10,22,25,8,65,13.3,42,117,0.338461538,0.069254438
Steelhead,Kenney2_2019,11,13,15,2,74,29.8,32,211,0.175675676,0.070745069
Steelhead,Kenney2_2019,12,18,11,3,56,18.5,30,137,0.321428571,0.106186224
Steelhead,Kenney2_2019,13,26,17,6,68,16.5,43,132,0.382352941,0.092776817
Steelhead,Kenney2_2019,14,6,6,2,15,4.7,8,43,0.4,0.125333333
Steelhead,Kenney2_2019,15,12,15,2,68,27.4,29,196,0.176470588,0.071107266
Steelhead,Kenney2_2019,16,11,10,0,NA,NA,NA,NA,NA,NA
Steelhead,Kenney2_2019,LEM-121695,7,4,0,NA,NA,NA,NA,NA,NA
Steelhead,Kenney2_2019,LEM-449375,36,16,8,69,13.2,49,118,0.52173913,0.099810964
Steelhead,LittleSprings1_2019,1,6,5,1,20,8.4,9,71,0.3,0.126
Steelhead,LittleSprings1_2019,2,8,3,2,11,2.4,8,29,0.727272727,0.158677686
Steelhead,LittleSprings1_2019,4,2,1,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings1_2019,5,5,2,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings1_2019,8,2,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings1_2019,9,2,4,1,6,1.9,3,25,0.333333333,0.105555556
Steelhead,LittleSprings1_2019,10,1,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings1_2019,12,3,1,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings1_2019,13,6,6,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings1_2019,14,2,7,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings1_2019,15,3,3,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings1_2019,16,3,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings1_2019,17,1,3,1,3,0,1,12,0.333333333,0
Steelhead,LittleSprings2_2019,18,6,3,2,8,1.8,6,22,0.75,0.16875
Steelhead,LittleSprings2_2019,19,6,1,1,6,0,6,19,1,0
Steelhead,LittleSprings2_2019,20,1,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings2_2019,21,7,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings2_2019,22,1,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings2_2019,Little0Springs-6,4,2,1,6,1.9,4,23,0.666666667,0.211111111
Steelhead,LittleSprings3_2019,23,7,4,3,9,1.4,7,20,0.777777778,0.120987654
Steelhead,LittleSprings3_2019,24,2,1,1,2,0,2,8,1,0
Steelhead,LittleSprings3_2019,25,3,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings3_2019,27,2,6,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings3_2019,28,4,4,1,12,4.3,5,42,0.333333333,0.119444444
Steelhead,LittleSprings3_2019,29,6,4,1,16,6.6,8,59,0.375,0.1546875
Steelhead,LittleSprings3_2019,30,11,9,3,29,8.5,16,70,0.379310345,0.11117717
Steelhead,LittleSprings3_2019,31,4,3,1,9,3.2,5,32,0.444444444,0.158024691
Steelhead,LittleSprings3_2019,37,2,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings3_2019,38,1,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings3_2019,39,1,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LittleSprings3_2019,Little0Springs-2,2,2,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,1,17,6,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,2,11,6,1,41,18.7,18,145,0.268292683,0.122367638
Steelhead,LowerLemhi1a_2019,3,6,4,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,4,10,4,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,5,2,6,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,6,7,1,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,7,4,3,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,8,20,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,9,4,4,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,10,5,7,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,11,1,4,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,12,3,2,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,13,3,2,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,15,1,2,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,16,1,11,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,17,3,7,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi1a_2019,18,3,1,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,1,13,14,2,69,27.7,30,198,0.188405797,0.075635371
Steelhead,LowerLemhi2_2019,2,5,9,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,3,16,7,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,4,31,16,1,271,142.8,82,530,0.114391144,0.060276957
Steelhead,LowerLemhi2_2019,5,17,5,1,53,24,25,185,0.320754717,0.145247419
Steelhead,LowerLemhi2_2019,6,8,10,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,7,12,9,1,64,30.9,24,228,0.1875,0.090527344
Steelhead,LowerLemhi2_2019,8,5,6,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,9,7,13,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,10,7,10,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,11,15,14,3,59,19.9,30,146,0.254237288,0.085751221
Steelhead,LowerLemhi2_2019,12,31,32,3,263,103.5,107,651,0.117870722,0.046386387
Steelhead,LowerLemhi2_2019,14,10,9,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,15,5,8,3,12,2.6,7,31,0.416666667,0.090277778
Steelhead,LowerLemhi2_2019,16,12,5,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,17,26,33,2,305,137.7,111,738,0.085245902,0.038486428
Steelhead,LowerLemhi2_2019,18,28,21,3,158,59.9,74,396,0.17721519,0.067184746
Steelhead,LowerLemhi2_2019,19,30,34,4,216,75.1,105,494,0.138888889,0.048289609
Steelhead,LowerLemhi2_2019,20,36,15,1,295,155.5,89,576,0.122033898,0.064326343
Steelhead,LowerLemhi2_2019,21,7,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,22,33,24,3,212,81.8,97,530,0.155660377,0.06006141
Steelhead,LowerLemhi2_2019,23,33,28,9,98,20.2,64,170,0.336734694,0.06940858
Steelhead,LowerLemhi2_2019,24,31,12,1,207,107,62,405,0.149758454,0.077411375
Steelhead,LowerLemhi2_2019,25,22,9,1,114,56.7,44,405,0.192982456,0.09598338
Steelhead,LowerLemhi2_2019,26,15,6,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,27,17,14,1,134,68.4,40,262,0.126865672,0.064758298
Steelhead,LowerLemhi2_2019,28,1,2,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,29,5,4,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,30,1,11,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,31,6,8,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,33,18,15,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,37,5,2,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,39,6,11,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,41,2,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,42,8,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,43,1,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi2_2019,44,6,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,1,1,2,1,2,0,1,9,0.5,0
Steelhead,LowerLemhi3_2019,4,2,3,1,5,1.4,3,19,0.4,0.112
Steelhead,LowerLemhi3_2019,5,1,3,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,6,2,2,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,7,1,1,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,8,5,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,9,3,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,10,1,1,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,15,4,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,16,2,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,17,2,0,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,18,6,1,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,19,1,1,0,NA,NA,NA,NA,NA,NA
Steelhead,LowerLemhi3_2019,21,5,1,0,NA,NA,NA,NA,NA,NA
Steelhead,Miller_2019,1,29,10,2,109,44.5,52,307,0.266055046,0.108618803
Steelhead,Miller_2019,2,8,13,1,62,29.7,18,122,0.129032258,0.061810614
Steelhead,Miller_2019,3,23,12,3,77,26.5,41,188,0.298701299,0.102799798
Steelhead,Miller_2019,4,6,13,2,32,10.9,14,91,0.1875,0.063867188
Steelhead,Miller_2019,5,13,18,3,66,22.3,31,164,0.196969697,0.066551882
Steelhead,Murphy_2019,1,29,19,2,199,87.5,82,572,0.145728643,0.064076665
Steelhead,Murphy_2019,2,50,35,1,917,504.9,278,1790,0.054525627,0.030021798
Steelhead,Murphy_2019,3,19,16,1,169,87.5,51,331,0.112426036,0.058208746
Steelhead,Murphy_2019,4,38,36,4,288,102.3,138,659,0.131944444,0.046867766
Steelhead,Thomas_2019,1,16,13,1,118,59.7,35,231,0.13559322,0.068600977
Steelhead,Thomas_2019,2,24,11,3,74,25.1,40,180,0.324324324,0.110007305
Steelhead,THOR_SC_2019,34,11,9,2,39,14.5,19,110,0.282051282,0.10486522
Steelhead,THOR_SC_2019,35,14,6,1,52,23.8,22,181,0.269230769,0.123224852
Steelhead,THOR_SC_2019,36,11,3,0,NA,NA,NA,NA,NA,NA
Steelhead,THOR_SC_2019,37,11,9,0,NA,NA,NA,NA,NA,NA
Steelhead,THOR_SC_2019,38,1,0,0,NA,NA,NA,NA,NA,NA
Steelhead,THOR_SC_2019,39,14,7,0,NA,NA,NA,NA,NA,NA
Steelhead,THOR_SC_2019,40,7,5,1,23,9.8,10,82,0.304347826,0.129678639
Steelhead,THOR_SC_2019,41,9,9,0,NA,NA,NA,NA,NA,NA
Steelhead,THOR_SC_2019,42,1,0,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi1_2019,1,7,6,1,27,11.8,11,96,0.259259259,0.113305898
Steelhead,UpperLemhi1_2019,2,7,5,1,23,9.8,10,82,0.304347826,0.129678639
Steelhead,UpperLemhi1_2019,3,7,6,2,18,5.6,10,50,0.388888889,0.120987654
Steelhead,UpperLemhi1_2019,4,13,6,3,24,6.1,16,55,0.541666667,0.137673611
Steelhead,UpperLemhi1_2019,5,13,13,4,38,10.3,22,85,0.342105263,0.092728532
Steelhead,UpperLemhi1_2019,6,7,7,3,15,3.6,9,36,0.466666667,0.112
Steelhead,UpperLemhi1_2019,7,13,10,5,25,4.9,17,49,0.52,0.10192
Steelhead,UpperLemhi1_2019,8,9,7,4,15,2.8,11,32,0.6,0.112
Steelhead,UpperLemhi1_2019,9,10,7,3,21,5.5,13,50,0.476190476,0.124716553
Steelhead,UpperLemhi1_2019,10,10,10,2,39,14.7,18,112,0.256410256,0.096646943
Steelhead,UpperLemhi1_2019,11,9,13,1,69,33.5,20,136,0.130434783,0.063327032
Steelhead,UpperLemhi1_2019,12,9,5,2,19,5.9,11,52,0.473684211,0.147091413
Steelhead,UpperLemhi1_2019,13,3,1,1,3,0,3,11,1,0
Steelhead,UpperLemhi1_2019,14,11,9,4,23,5.3,15,50,0.47826087,0.11020794
Steelhead,UpperLemhi1_2019,15,13,26,4,75,22.3,37,170,0.173333333,0.051537778
Steelhead,UpperLemhi1_2019,16,9,6,1,34,15.3,15,121,0.264705882,0.119117647
Steelhead,UpperLemhi1_2019,17,10,10,2,39,14.7,18,112,0.256410256,0.096646943
Steelhead,UpperLemhi1_2019,18,13,11,4,33,8.4,20,71,0.393939394,0.100275482
Steelhead,UpperLemhi1_2019,19,9,7,1,39,17.9,16,139,0.230769231,0.10591716
Steelhead,UpperLemhi1_2019,20,16,9,3,42,12.9,24,100,0.380952381,0.117006803
Steelhead,UpperLemhi1_2019,21,5,6,1,20,8.4,8,72,0.25,0.105
Steelhead,UpperLemhi1_2019,22,8,8,1,40,18.2,15,141,0.2,0.091
Steelhead,UpperLemhi1_2019,23,13,6,2,32,10.9,18,87,0.40625,0.138378906
Steelhead,UpperLemhi1_2019,24,5,8,1,26,11.2,10,94,0.192307692,0.082840237
Steelhead,UpperLemhi1_2019,25,21,23,7,65,14.3,40,121,0.323076923,0.071076923
Steelhead,UpperLemhi1_2019,26,28,21,9,63,11.5,43,107,0.444444444,0.081128748
Steelhead,UpperLemhi1_2019,27,16,8,1,76,36.6,30,268,0.210526316,0.101385042
Steelhead,UpperLemhi2_2019,1,40,21,15,55,5.6,46,78,0.727272727,0.074049587
Steelhead,UpperLemhi2_2019,2,17,11,3,53,17.4,29,129,0.320754717,0.105304379
Steelhead,UpperLemhi2_2019,3,50,13,6,101,23.7,69,189,0.495049505,0.116165082
Steelhead,UpperLemhi2_2019,4,18,6,2,43,15.4,24,119,0.418604651,0.149918875
Steelhead,UpperLemhi2_2019,6,9,14,3,36,11.1,18,91,0.25,0.077083333
Steelhead,UpperLemhi2_2019,7,15,20,2,111,46.7,40,269,0.135135135,0.056854151
Steelhead,UpperLemhi2_2019,8,6,12,1,44,20.4,13,88,0.136363636,0.06322314
Steelhead,UpperLemhi2_2019,9,5,7,2,15,4.5,8,43,0.333333333,0.1
Steelhead,UpperLemhi2_2019,10,5,5,2,11,3,6,31,0.454545455,0.123966942
Steelhead,UpperLemhi2_2019,11,2,8,1,12,4,4,46,0.166666667,0.055555556
Steelhead,UpperLemhi2_2019,12,5,5,1,17,6.9,8,61,0.294117647,0.119377163
Steelhead,UpperLemhi2_2019,13,5,2,1,8,2.4,5,28,0.625,0.1875
Steelhead,UpperLemhi2_2019,14,5,6,1,20,8.4,8,72,0.25,0.105
Steelhead,UpperLemhi2_2019,15,12,11,3,38,11.8,20,93,0.315789474,0.098060942
Steelhead,UpperLemhi2_2019,LEM-452047,22,16,4,77,23.7,42,172,0.285714286,0.087940631
Steelhead,UpperLemhi3_2019,1,32,21,6,103,26.9,62,201,0.310679612,0.081138656
Steelhead,UpperLemhi3_2019,2,21,22,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,3,24,8,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,4,30,18,1,294,155.6,89,573,0.102040816,0.054005276
Steelhead,UpperLemhi3_2019,5,14,13,2,69,27.7,31,197,0.202898551,0.081453476
Steelhead,UpperLemhi3_2019,6,15,12,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,7,15,13,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,8,14,17,2,89,36.7,37,256,0.157303371,0.064865547
Steelhead,UpperLemhi3_2019,9,17,12,1,116,58.6,35,227,0.146551724,0.074033888
Steelhead,UpperLemhi3_2019,10,21,19,1,219,114.9,66,428,0.095890411,0.050309627
Steelhead,UpperLemhi3_2019,11,15,8,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,12,16,10,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,13,30,14,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,14,11,12,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,15,13,5,1,41,18.3,19,144,0.317073171,0.141522903
Steelhead,UpperLemhi3_2019,16,1,4,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,17,11,5,1,35,15.5,16,123,0.314285714,0.139183673
Steelhead,UpperLemhi3_2019,18,4,5,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,19,10,5,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,20,15,9,2,52,20.1,26,147,0.288461538,0.111501479
Steelhead,UpperLemhi3_2019,21,17,5,1,53,24,25,185,0.320754717,0.145247419
Steelhead,UpperLemhi3_2019,22,13,10,2,50,19.4,24,143,0.26,0.10088
Steelhead,UpperLemhi3_2019,23,18,19,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,25,6,7,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,26,14,5,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,27,16,7,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,28,12,8,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,29,12,2,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,30,7,3,0,NA,NA,NA,NA,NA,NA
Steelhead,UpperLemhi3_2019,31,9,1,1,9,0,9,28,1,0
