PITTagID,Species,Rear,MarkLength,MarkStream,RecapStream,MarkDate,RecapDate,DaystoRecap,Mark,Recapture,Distance,Direction
384.3B2398075D,Chinook,W,83,Hayden Creek,Hayden Creek,9/12/2013,9/16/2013,4,63216.9633,63186.77911,30.1841897,Downstream
384.3B2398750D,Steelhead,W,187,Big Timber Creek,Big Timber Creek,8/30/2013,9/2/2013,3,117171.3593,117201.5401,30.180856,Upstream
384.3B23975F2D,Steelhead,W,139,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61790.77584,61760.73129,30.0445525,Downstream
384.3B23981D19,Steelhead,W,180,East Fork Bohannon Creek,East Fork Bohannon Creek,9/26/2013,9/28/2013,2,24745.1062,24715.16019,29.9460123,Downstream
384.3B23984283,Steelhead,W,103,Canyon Creek,Canyon Creek,6/22/2013,6/24/2013,2,101626.0227,101655.9612,29.938491,Upstream
384.3B2398884A,Steelhead,W,201,East Fork Bohannon Creek,East Fork Bohannon Creek,9/26/2013,9/28/2013,2,25363.93481,25334.09873,29.8360799,Downstream
384.3B23971B3F,Steelhead,W,142,Hayden Creek,Hayden Creek,9/11/2013,9/15/2013,4,68982.87914,69012.58083,29.7016847,Upstream
3DD.00773A0F74,Steelhead,W,251,Little Springs Creek,Little Springs Creek,6/14/2013,6/16/2013,2,73349.3132,73378.90804,29.5948354,Upstream
3D9.239F871C75,Steelhead,W,63,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,24238.33284,24267.91454,29.5816976,Upstream
384.3B23981B13,Steelhead,W,141,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,24235.12175,24264.61918,29.4974305,Upstream
384.3B239701E7,Steelhead,W,132,Canyon Creek,Canyon Creek,6/22/2013,6/24/2013,2,103246.0399,103216.6413,29.3986,Downstream
384.3B23974A9E,Steelhead,W,138,Canyon Creek,Canyon Creek,6/22/2013,6/24/2013,2,102471.9726,102442.6133,29.359303,Downstream
384.3B23970681,Steelhead,W,243,Big Timber Creek,Big Timber Creek,8/29/2013,9/1/2013,3,111128.1064,111098.8329,29.2735,Downstream
384.3B23989F04,Steelhead,W,201,Hawley Creek,Hawley Creek,8/15/2013,8/18/2013,3,118309.1051,118337.9847,28.879582,Upstream
384.3B23976C3D,Steelhead,W,121,Hayden Creek,Hayden Creek,9/11/2013,9/15/2013,4,68656.70836,68685.56574,28.8573819,Upstream
384.3B23989622,Steelhead,W,145,Bohannon Creek,Bohannon Creek,9/25/2013,9/27/2013,2,24030.68322,24001.90319,28.7800303,Downstream
384.3B2397866D,Steelhead,W,206,Big Timber Creek,Big Timber Creek,8/29/2013,9/1/2013,3,109786.7471,109758.1949,28.552192,Downstream
384.3B23984C36,Steelhead,W,137,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61427.97516,61399.49567,28.4794901,Downstream
3D9.1C2D6F5181,Steelhead,W,115,Hayden Creek,Hayden Creek,9/12/2013,9/16/2013,4,65165.3953,65137.01306,28.3822389,Downstream
3DD.007739A3C5,Steelhead,W,,Little Springs Creek,Little Springs Creek,6/13/2013,6/15/2013,2,71872.01852,71900.29225,28.2737289,Upstream
384.3B23980663,Steelhead,W,95,East Fork Bohannon Creek,East Fork Bohannon Creek,9/26/2013,9/28/2013,2,25376.47052,25404.63159,28.1610752,Upstream
384.3B23986093,Steelhead,W,86,Big Timber Creek,Big Timber Creek,8/29/2013,9/1/2013,3,109500.6618,109472.552,28.109797,Downstream
384.3B239728A6,Steelhead,W,164,Canyon Creek,Canyon Creek,6/22/2013,6/24/2013,2,102689.9854,102662.1329,27.85246,Downstream
384.3B239A43A4,Steelhead,W,189,Little Springs Creek,Little Springs Creek,6/13/2013,6/15/2013,2,69181.5801,69209.39797,27.8178683,Upstream
384.3B23987E1A,Steelhead,W,121,Big Timber Creek,Big Timber Creek,8/29/2013,9/1/2013,3,109358.3171,109386.0728,27.755713,Upstream
384.3B2397BA09,Steelhead,W,189,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,25032.98172,25005.29058,27.6911407,Downstream
384.3B23985395,Steelhead,W,168,Hawley Creek,Hawley Creek,8/15/2013,8/18/2013,3,118318.9814,118291.6048,27.376579,Downstream
384.3B2397CF7D,Steelhead,W,118,Hawley Creek,Hawley Creek,8/16/2013,8/18/2013,2,118222.467,118249.7619,27.294876,Upstream
384.3B2397ADC6,Steelhead,W,119,Bohannon Creek,Bohannon Creek,9/25/2013,9/27/2013,2,23686.04771,23713.25798,27.2102686,Upstream
384.3B23988349,Steelhead,W,130,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61299.03314,61271.99167,27.0414722,Downstream
3D9.1C2D70D4B0,Steelhead,W,109,Wimpey Creek,Wimpey Creek,8/4/2013,8/5/2013,1,22750.14752,22723.19264,26.954876,Downstream
384.3B239757F1,Steelhead,W,106,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61697.9047,61671.05411,26.8505929,Downstream
384.3B23985531,Steelhead,W,336,Big Springs Creek,Big Springs Creek,7/31/2013,8/2/2013,2,90368.2386,90341.44533,26.7932655,Downstream
384.3B2398AA91,Steelhead,W,110,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,26680.0691,26706.74686,26.6777589,Upstream
384.3B239860A6,Steelhead,W,130,Hawley Creek,Hawley Creek,8/16/2013,8/18/2013,2,120471.9971,120498.5636,26.566521,Upstream
3DD.0077397869,Steelhead,W,,Little Springs Creek,Little Springs Creek,6/13/2013,6/15/2013,2,71872.01852,71898.52317,26.5046507,Upstream
384.3B239812FF,Steelhead,W,118,Hawley Creek,Hawley Creek,8/16/2013,8/18/2013,2,117653.7134,117680.1613,26.447903,Upstream
384.3B239A5167,Steelhead,W,99,Little Springs Creek,Little Springs Creek,6/13/2013,6/15/2013,2,69181.64845,69208.0387,26.3902531,Upstream
384.3B23980B3E,Steelhead,W,290,Big Springs Creek,Big Springs Creek,7/31/2013,8/2/2013,2,88897.7582,88923.99215,26.2339579,Upstream
384.3B2397BD67,Steelhead,W,230,Hawley Creek,Hawley Creek,8/15/2013,8/18/2013,3,118513.2661,118487.1296,26.136437,Downstream
384.3B2398236C,Steelhead,W,149,Bohannon Creek,Bohannon Creek,9/25/2013,9/27/2013,2,23405.05231,23379.05603,25.9962718,Downstream
384.3B2398A43D,Steelhead,W,104,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,24703.43755,24729.17953,25.7419837,Upstream
384.3B239A2D61,Steelhead,W,117,Little Springs Creek,Little Springs Creek,6/13/2013,6/15/2013,2,69181.63408,69207.30597,25.6718973,Upstream
384.3B239A13C4,Steelhead,W,157,Little Springs Creek,Little Springs Creek,6/13/2013,6/15/2013,2,69181.88095,69207.23719,25.3562491,Upstream
384.3B2397C2B5,Steelhead,W,123,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61697.9047,61672.60195,25.3027539,Downstream
384.3B2398A72F,Steelhead,W,114,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61302.78452,61277.55823,25.2262845,Downstream
3D9.1C2D6F719D,Steelhead,W,214,Big Timber Creek,Big Timber Creek,8/29/2013,9/1/2013,3,111123.8475,111098.8329,25.014557,Downstream
384.3B2398427B,Steelhead,W,250,Hayden Creek,Hayden Creek,9/11/2013,9/15/2013,4,69355.50789,69380.47758,24.969684,Upstream
384.3B2398478E,Steelhead,W,145,Bohannon Creek,Bohannon Creek,9/25/2013,9/27/2013,2,23684.06592,23659.16977,24.8961537,Downstream
384.3B2398B65E,Steelhead,W,108,Hayden Creek,Hayden Creek,9/14/2013,9/18/2013,4,60919.12409,60894.33695,24.7871382,Downstream
384.3B2397B8A5,Steelhead,W,223,Little Springs Creek,Little Springs Creek,9/30/2013,10/2/2013,2,72530.68749,72506.22639,24.4610979,Downstream
384.3B2396FAE5,Steelhead,W,122,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,26946.3238,26970.77713,24.4533266,Upstream
3D9.1C2D6EFA40,Steelhead,W,108,Hayden Creek,Hayden Creek,9/12/2013,9/16/2013,4,63564.8411,63540.40159,24.4395114,Downstream
384.3B23982265,Steelhead,W,97,Bohannon Creek,Bohannon Creek,9/25/2013,9/27/2013,2,22963.47505,22939.06412,24.4109286,Downstream
3D9.1C2D6EA7A2,Steelhead,W,116,Wimpey Creek,Wimpey Creek,8/4/2013,8/5/2013,1,21006.18556,21030.5948,24.4092391,Upstream
384.3B23982066,Steelhead,W,103,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,24701.69038,24726.02983,24.3394479,Upstream
384.3B23979BDF,Steelhead,W,147,Big Timber Creek,Big Timber Creek,8/30/2013,9/2/2013,3,117858.8143,117883.086,24.271708,Upstream
3D9.1C2D709544,Steelhead,W,120,Wimpey Creek,Wimpey Creek,8/4/2013,8/5/2013,1,20789.71352,20813.82712,24.1135934,Upstream
3DD.007739BD12,Steelhead,W,148,Bohannon Creek,Bohannon Creek,6/20/2013,6/22/2013,2,20372.85512,20396.91072,24.0555996,Upstream
384.3B23981C5A,Steelhead,W,144,Hayden Creek,Hayden Creek,9/12/2013,9/16/2013,4,63213.07844,63189.04734,24.0310982,Downstream
384.3B2398B12D,Steelhead,W,120,Hayden Creek,Hayden Creek,9/14/2013,9/18/2013,4,58880.91011,58904.70907,23.798962,Upstream
384.3B2398453E,Steelhead,W,216,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,66249.23733,66225.54282,23.6945103,Downstream
384.3B2398C12E,Steelhead,W,131,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61697.9047,61674.27486,23.6298382,Downstream
384.3B2397838F,Steelhead,W,129,Hayden Creek,Hayden Creek,9/14/2013,9/18/2013,4,58042.71318,58019.11601,23.5971689,Downstream
384.3B2397F8D6,Steelhead,W,204,Big Timber Creek,Big Timber Creek,8/30/2013,9/2/2013,3,117171.0402,117147.5134,23.526808,Downstream
384.3B23984220,Steelhead,W,191,Big Timber Creek,Big Timber Creek,8/30/2013,9/2/2013,3,114700.4932,114723.9214,23.428201,Upstream
384.3B23985F56,Steelhead,W,186,Big Timber Creek,Big Timber Creek,8/30/2013,9/2/2013,3,114700.4932,114723.9214,23.428201,Upstream
384.3B2398B2F5,Steelhead,W,181,Big Timber Creek,Big Timber Creek,8/30/2013,9/2/2013,3,114700.4932,114723.9214,23.428201,Upstream
384.3B2398825C,Steelhead,W,108,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61299.03314,61322.39734,23.3642,Upstream
384.3B2396F268,Steelhead,W,119,Hawley Creek,Hawley Creek,8/15/2013,8/18/2013,3,118318.2787,118341.622,23.343258,Upstream
384.3B23988451,Steelhead,W,117,Hawley Creek,Hawley Creek,8/15/2013,8/18/2013,3,118318.3995,118341.622,23.222529,Upstream
384.3B23988988,Steelhead,W,122,Hayden Creek,Hayden Creek,9/14/2013,9/18/2013,4,61010.26777,60987.12587,23.1419026,Downstream
384.3B239881FD,Steelhead,W,203,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,25036.90578,25013.88493,23.0208516,Downstream
384.3B239805B6,Steelhead,W,122,Hawley Creek,Hawley Creek,8/15/2013,8/18/2013,3,118314.985,118337.9847,22.999695,Upstream
384.3B23986E07,Steelhead,W,150,Hawley Creek,Hawley Creek,8/16/2013,8/18/2013,2,120114.0326,120136.5154,22.482786,Upstream
3D9.1C2D70AB88,Steelhead,W,177,Big Timber Creek,Big Timber Creek,8/29/2013,9/1/2013,3,111751.6296,111729.1642,22.46544,Downstream
3D9.1BF201C028,Steelhead,W,193,Big Timber Creek,Big Timber Creek,8/27/2013,8/28/2013,1,103521.4898,103543.9407,22.450986,Upstream
3DD.00773A1FA6,Steelhead,W,175,Little Springs Creek,Little Springs Creek,6/14/2013,6/16/2013,2,72641.77963,72619.3721,22.4075294,Downstream
384.3B23984B40,Steelhead,W,91,Bohannon Creek,Bohannon Creek,9/25/2013,9/27/2013,2,23875.39759,23897.66375,22.266156,Upstream
3D9.1C2D708042,Steelhead,W,81,Wimpey Creek,Wimpey Creek,8/4/2013,8/5/2013,1,22751.19329,22729.00777,22.1855155,Downstream
3D9.1C2D70988A,Steelhead,W,109,Wimpey Creek,Wimpey Creek,8/4/2013,8/5/2013,1,21009.97603,21031.77227,21.7962409,Upstream
384.3B23978DBB,Steelhead,W,279,Big Timber Creek,Big Timber Creek,8/30/2013,9/2/2013,3,117089.258,117067.474,21.784,Downstream
384.3B2397B969,Steelhead,W,152,Hayden Creek,Hayden Creek,9/14/2013,9/18/2013,4,60009.4075,59987.6545,21.7529936,Downstream
384.3B23989E67,Steelhead,W,104,Hayden Creek,Hayden Creek,9/11/2013,9/15/2013,4,68651.23894,68629.5037,21.7352369,Downstream
384.3B2397A86E,Steelhead,W,92,Hayden Creek,Hayden Creek,9/14/2013,9/18/2013,4,58892.06316,58870.47134,21.5918259,Downstream
3D9.1C2D703FDF,Steelhead,W,239,Hawley Creek,Hawley Creek,8/15/2013,8/18/2013,3,118677.9829,118699.5494,21.566469,Upstream
384.3B23981577,Steelhead,W,292,Hawley Creek,Hawley Creek,8/16/2013,8/18/2013,2,120114.8641,120136.4152,21.551137,Upstream
384.3B2398B306,Steelhead,W,175,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,66427.86565,66406.32994,21.5357149,Downstream
384.3B239A8045,Steelhead,W,118,Bohannon Creek,Bohannon Creek,6/20/2013,6/22/2013,2,22466.80164,22488.15476,21.3531193,Upstream
384.3B239A8885,Steelhead,W,145,East Fork Bohannon Creek,East Fork Bohannon Creek,6/21/2013,6/23/2013,2,25401.08147,25422.23062,21.1491478,Upstream
384.3B2398974C,Steelhead,W,136,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61697.9047,61676.76723,21.1374679,Downstream
384.3B239860CE,Steelhead,W,97,Hayden Creek,Hayden Creek,9/12/2013,9/16/2013,4,64460.49615,64439.36847,21.1276744,Downstream
384.3B2398519C,Steelhead,W,144,Hayden Creek,Hayden Creek,9/11/2013,9/15/2013,4,69352.82121,69373.85597,21.0347584,Upstream
3D9.1C2D6FE3E8,Steelhead,W,274,Big Springs Creek,Big Springs Creek,7/31/2013,8/1/2013,1,87242.64039,87263.63932,20.9989388,Upstream
384.3B239A5CF7,Steelhead,W,120,Agency Creek,Agency Creek,6/25/2013,6/26/2013,1,44939.01847,44959.95384,20.9353699,Upstream
384.3B23974A71,Steelhead,W,166,Hayden Creek,Hayden Creek,9/12/2013,9/16/2013,4,64651.06891,64630.22554,20.8433715,Downstream
3DD.00773A217C,Steelhead,W,112,Kenney Creek,Kenney Creek,7/31/2013,8/3/2013,3,34053.0874,34073.7647,20.6772956,Upstream
384.3B23977BD2,Steelhead,W,138,Bohannon Creek,Bohannon Creek,9/25/2013,9/27/2013,2,22955.54249,22935.09097,20.4515191,Downstream
384.3B23985A6B,Steelhead,W,199,Big Timber Creek,Big Timber Creek,8/29/2013,9/1/2013,3,109150.9695,109130.5238,20.445662,Downstream
384.3B2397E991,Steelhead,W,176,East Fork Bohannon Creek,East Fork Bohannon Creek,9/26/2013,9/28/2013,2,25101.186,25121.55025,20.3642461,Upstream
384.3B23981D23,Steelhead,W,242,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,111541.7172,111521.3762,20.340998,Downstream
384.3B2397AE49,Steelhead,W,96,Bohannon Creek,Bohannon Creek,9/25/2013,9/27/2013,2,23902.15921,23881.88212,20.2770844,Downstream
384.3B2398126C,Steelhead,W,135,Hayden Creek,Hayden Creek,9/14/2013,9/18/2013,4,58039.83412,58060.08603,20.2519066,Upstream
384.3B2398150F,Steelhead,W,179,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,111541.5163,111521.3762,20.140102,Downstream
384.3B23989ED8,Steelhead,W,116,Hayden Creek,Hayden Creek,9/11/2013,9/15/2013,4,68800.81462,68820.88838,20.0737661,Upstream
3D9.1C2D6E7F2E,Chinook,W,83,Hayden Creek,Hayden Creek,9/12/2013,9/16/2013,4,63363.09843,63343.05146,20.0469698,Downstream
384.3B2398979F,Steelhead,W,100,Bohannon Creek,Bohannon Creek,9/25/2013,9/27/2013,2,23429.2725,23409.3309,19.9416,Downstream
3D9.1C2D57EAB1,Steelhead,W,119,Reservoir Creek,Reservoir Creek,8/15/2013,8/17/2013,2,124821.5756,124801.6423,19.933271,Downstream
384.3B2396ECD7,Steelhead,W,125,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,25037.6533,25017.7248,19.9285,Downstream
384.3B2396FA3F,Steelhead,W,128,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,25036.56064,25016.76753,19.7931092,Downstream
384.3B2398B1F7,Steelhead,W,103,Hayden Creek,Hayden Creek,9/11/2013,9/15/2013,4,68795.29754,68815.00392,19.7063847,Upstream
384.3B2398B225,Steelhead,W,142,Hayden Creek,Hayden Creek,9/11/2013,9/15/2013,4,68789.33405,68808.94563,19.6115851,Upstream
384.3B2397E364,Steelhead,W,149,Hayden Creek,Hayden Creek,9/14/2013,9/18/2013,4,60571.61869,60552.0818,19.5368918,Downstream
